age,salary,experience,target
48.0531,76819.0423,22.3229,1
59.9324,109314.9493,34.5567,1
28.276,35280.8918,3.4756,0
28.3607,35750.8347,10.7653,1
55.8735,71989.3028,23.0751,1
22.3591,52558.1132,6.3591,0
55.935,70100.8948,23.7247,1
56.982,69753.4981,24.4492,1
51.1149,81570.1807,24.066,1
22.7471,29543.7093,2.3171,0
35.3985,56893.2795,10.5396,1
26.0435,28351.164,0.3908,0
64.5076,80554.2428,26.9454,1
28.7653,36304.6131,0.0,0
27.9162,44759.9268,11.9162,1
60.9837,94718.079,34.1023,1
44.3843,73591.707,15.6397,1
64.8843,87551.2395,28.1557,1
23.1535,16668.0291,0.0,0
64.8177,75349.6274,31.5947,1
18.5396,13546.4313,0.0,0
23.243,19080.7971,0.0787,0
59.1651,96226.8272,26.3133,1
32.0269,52133.3651,16.0269,1
53.838,60850.7441,15.3466,1
18.9154,42052.1225,0.0,0
32.4532,66175.1759,16.1523,1
21.253,27914.9533,0.0,0
40.3383,48451.4732,9.8434,1
43.3469,54581.1728,11.9786,1
64.772,83469.4946,27.9528,1
33.89,40635.729,8.3089,1
21.3367,22477.2056,0.0,1
29.1862,26630.6093,0.1812,0
61.9692,78943.6797,24.1857,1
22.5557,19217.5577,0.0,0
52.2666,43155.9384,15.7911,1
58.4986,90941.3188,28.9271,1
37.8284,57890.6465,10.7878,0
43.8653,88953.853,13.4853,1
63.5428,101232.3896,37.7369,1
36.8489,67139.3043,15.1792,0
30.4645,33601.9062,7.1478,0
44.1211,71571.9744,21.1839,1
63.5293,79889.3521,24.9578,1
41.634,58946.4817,12.5926,0
21.7652,41686.1817,2.2052,0
59.8435,82999.5213,24.3091,1
37.7036,38526.6626,6.5721,0
29.2182,26488.8129,3.9839,0
32.8603,41406.1145,7.8399,0
21.4433,35554.5436,3.7942,0
59.4006,87637.5428,30.0656,1
46.7489,92593.1067,24.9512,1
56.4039,90812.8758,22.7434,1
23.0307,21046.0767,0.0,0
51.7278,90021.78,23.2385,1
57.7669,101882.7639,30.943,1
18.1666,14090.3905,0.0,0
38.1013,70121.1256,18.9713,1
60.4846,69491.9422,19.5202,1
32.4881,53937.7773,6.289,0
60.2495,96622.7762,28.386,1
37.0997,56645.5261,15.586,0
58.6365,98929.1668,34.4979,1
33.6127,58494.9973,7.6776,0
56.1052,95467.5221,23.7212,1
28.4544,52006.7755,10.3806,1
55.3812,83068.0653,24.1727,1
63.4438,98709.1739,33.6002,1
64.114,71314.1307,19.9462,1
63.2391,107885.4589,37.6073,1
52.2416,82170.5322,19.381,1
29.972,39295.295,5.4215,0
43.3072,45158.0432,13.9273,1
49.2192,60516.3929,15.8366,1
51.8285,79966.3588,20.2728,1
23.9825,17239.0066,3.913,0
60.4319,79068.8885,24.8227,1
38.2047,42348.5963,11.6294,1
38.7815,65717.1195,13.2346,1
21.9854,15178.3576,0.0,0
56.4659,70102.7929,24.8636,1
29.5076,28392.0803,8.3664,1
37.4787,44289.3953,9.1158,1
48.8347,75406.6755,14.3613,1
23.0096,29838.6409,0.0,1
29.7123,42404.0662,4.1337,0
