age,experience,education_level,current_salary,target
48.0531,22.5605,2.0,74350.6124,1
22.4037,0.0,2.0,19255.9676,0
45.6955,17.2607,2.0,65600.3897,1
22.5457,0.0,3.0,14112.2606,0
43.9459,18.9895,3.0,62247.3932,1
28.9412,8.9271,1.0,50495.1335,0
50.9856,20.1204,2.0,70708.3398,1
28.3219,12.3219,3.0,70209.2674,1
27.9162,11.9162,3.0,51261.7616,1
53.0145,20.2466,5.0,84693.1081,0
41.9477,15.6169,1.0,58663.0249,0
39.9983,10.265,3.0,57263.1742,0
30.5408,4.6721,4.0,40202.4688,0
41.861,1.7032,1.0,31474.1127,0
43.3508,16.4283,1.0,48812.8799,0
29.2543,13.2543,2.0,57021.1764,0
53.9942,26.8075,5.0,102095.8984,1
50.4238,18.0142,3.0,81247.5655,1
21.0092,5.0092,5.0,46064.963,0
21.3303,5.3303,2.0,36021.1544,0
29.4209,0.506,1.0,29538.6408,0
64.2558,32.0199,1.0,95645.5833,1
24.5886,4.0349,1.0,44673.9963,0
63.5428,35.6192,2.0,91131.9918,1
64.3095,29.6613,4.0,120461.8878,1
26.9252,0.0,2.0,31823.0103,0
41.634,15.8265,5.0,63496.1139,1
59.8435,24.1132,2.0,71525.49,1
30.256,3.9297,3.0,36045.4543,0
39.5394,19.9596,5.0,81104.2335,1
59.3257,24.9552,5.0,114266.625,1
32.0708,6.7556,1.0,48744.3111,0
46.427,16.9329,3.0,68522.6844,1
20.0721,0.7482,3.0,34287.294,0
18.4545,2.4545,2.0,44545.6166,0
60.2521,29.5515,1.0,108993.8659,1
37.0997,8.8522,2.0,54757.8771,0
33.6127,7.632,4.0,61582.6745,1
58.9918,28.7812,4.0,101544.8742,1
31.0943,13.4971,1.0,38968.0731,0
62.1441,38.439,2.0,126681.6986,1
38.5105,9.3666,5.0,72198.6013,1
55.906,20.0092,2.0,54136.995,0
51.8285,25.1252,3.0,84333.0508,1
49.2517,13.8399,2.0,73876.4688,1
45.2593,16.7568,3.0,48113.0768,0
25.9755,7.8396,5.0,67713.0319,1
19.148,0.0,2.0,13100.2496,0
51.7623,17.8122,2.0,79693.7889,1
26.2667,0.8111,5.0,50960.5107,0
42.9632,11.1838,4.0,64540.4038,0
52.9518,16.9959,4.0,81094.9312,1
29.2446,0.0,2.0,36276.3993,0
51.2017,23.6848,1.0,91389.2847,1
54.1804,24.069,5.0,83488.8716,1
37.694,1.895,5.0,53125.1812,0
49.4371,22.0497,4.0,85367.366,1
21.9455,0.0,4.0,30383.8821,0
53.7778,17.067,4.0,73981.4225,1
48.5568,14.0481,1.0,64895.4942,1
49.4646,16.6769,3.0,71781.7944,1
63.3419,27.3988,1.0,99457.533,1
27.3215,0.0,2.0,25750.5329,0
54.7839,22.166,3.0,79173.1221,1
41.0395,9.5476,4.0,67041.6389,0
43.2941,14.512,4.0,71469.8559,0
31.1096,0.0,5.0,43125.9734,0
55.4981,21.6691,3.0,74870.7307,1
29.3437,0.2037,2.0,39237.5263,0
50.514,18.4853,3.0,60933.8656,1
34.5351,5.0898,2.0,38508.0825,0
28.1701,2.6247,4.0,25676.3596,0
31.9236,4.5318,5.0,47476.122,0
53.3812,33.7208,1.0,102245.252,1
62.23,20.133,4.0,91404.1184,1
22.0035,6.0035,2.0,43174.2811,0
39.1742,3.4542,4.0,56451.9129,1
27.9182,0.0,1.0,33669.8064,0
31.6892,7.8496,4.0,61562.8422,0
27.2975,0.0,1.0,32080.0497,0
32.4578,7.4888,3.0,36744.5302,0
38.5747,14.134,5.0,64587.9575,0
57.2901,14.9193,3.0,59169.1448,1
64.8564,30.2401,4.0,97551.3394,1
58.3135,22.5966,3.0,103397.2693,1
23.4483,1.5138,4.0,48878.2469,1
42.3667,10.6176,4.0,54883.9189,0
23.707,0.0,5.0,52876.5038,0
57.5461,34.3959,2.0,119380.8477,0
29.4554,13.4554,5.0,61471.471,1
54.3157,25.9358,5.0,83464.5518,1
58.6672,21.0096,4.0,76551.0806,1
26.8667,1.4789,2.0,21635.1057,0
64.4555,32.3622,2.0,83741.6862,1
38.6944,6.7863,2.0,42403.4932,0
50.5571,22.9739,1.0,82685.1793,1
53.6919,23.7207,1.0,69781.4058,0
53.7374,24.9193,1.0,101083.1213,1
35.6175,13.409,5.0,73906.1225,1
41.3904,10.9682,5.0,60881.9346,0
60.3568,26.3803,4.0,104020.6674,1
32.1997,5.607,4.0,42433.983,0
19.0312,0.1848,1.0,19481.3282,0
60.4953,29.7047,3.0,109389.2697,1
53.5121,23.4835,2.0,75108.3215,1
52.4209,26.7278,1.0,96253.9818,1
35.1953,5.6718,2.0,44339.603,0
23.413,0.0,1.0,25693.3744,0
55.8156,18.7024,1.0,75367.5441,1
48.0118,14.9856,3.0,64851.7649,0
28.4043,12.4043,3.0,60699.9394,1
29.0356,8.7552,5.0,56926.8987,0
52.8866,25.044,1.0,101387.9747,1
38.9007,19.3897,2.0,52081.0769,1
36.7126,11.4978,4.0,61690.3292,1
64.4746,30.3024,5.0,93329.8816,1
54.3953,24.8784,3.0,76537.0717,1
19.2117,0.965,1.0,35406.6917,0
37.7851,12.6799,4.0,67114.1581,1
54.8117,23.3452,5.0,103270.9979,1
23.0742,0.0,1.0,13893.9288,0
35.9025,5.5254,5.0,67152.3843,0
48.5931,20.0585,2.0,60166.4384,1
32.6898,3.4166,3.0,42565.0529,0
22.3818,6.3818,2.0,51691.2126,0
49.271,21.7856,4.0,93193.6942,1
27.9987,2.4274,1.0,24111.1286,0
44.3654,19.4851,5.0,97846.6719,1
26.4796,2.0167,3.0,26250.1648,0
63.6751,28.4833,1.0,89186.9047,1
54.5113,21.5651,1.0,62198.454,1
46.5326,20.2107,4.0,70096.7747,1
40.8717,12.8596,4.0,61538.1342,1
31.604,4.1539,1.0,22653.5036,0
